source,translation_reference,translation_hypothesis,sentence_bleu_score
Los tmpanos a mi alrededor sobresalan del agua casi 60 metros. Y no pude ms que pensar que se trataba de un copo de nieve sobre otro copo de nieve ao tras ao.,"The icebergs around me  were almost 200 feet out of the water,  and I could only help but wonder  that this was one snowflake  on top of another snowflake,  year after year.",The tmpans around me overflow the water almost 60 meters. And I couldn't help but think that it was a snowflake on another snowflake year after year.,0.21591276173415275
Los tmpanos nacen cuando se desprenden de los glaciares o se rompen las barreras de hielo.,Icebergs are born  when they calve off of glaciers  or break off of ice shelves.,Tmpanos are born when they break off glaciers or break ice barriers.,0.2661344053822834
Cada tmpano tiene su propia personalidad individual.,Each iceberg has its own individual personality.,Each tmpano has its own individual personality.,0.6434588841607617
Tienen una manera distinta de interactuar con su ambiente y sus experiencias.,They have a distinct way  of interacting with their environment  and their experiences.,They have a different way of interacting with their environment and experiences.,0.5974178044844201
"Algunos se niegan a rendirse y se aferran hasta el final, mientras que otros no pueden soportarlo ms y se desmoronan en un arrebato de pasin dramtica.","Some refuse to give up  and hold on to the bitter end,  while others can't take it anymore  and crumble in a fit of dramatic passion.","Some refuse to surrender and cling to the end, while others cannot stand it anymore and fall apart in an outburst of dramtica pasin.",0.3629152233775416
"Es fcil pensar, al ver un tmpano, que estn aislados separados y solos, en gran medida como nos vemos nosotros a veces como humanos.","It's easy to think, when you look at an iceberg,  that they're isolated,  that they're separate and alone,  much like we as humans sometimes view ourselves.","It is easy to think, seeing a tmpano, that they are isolated apart and alone, to a large extent as we sometimes see ourselves as humans.",0.20396694515752345
Pero la realidad es todo lo contrario.,But the reality is far from it.,But the reality is quite the opposite.,0.41113361690051975
"A medida que se derrite un tmpano, estoy respirando su atmsfera ancestral.","As an iceberg melts,  I am breathing in  its ancient atmosphere.","As a tmpano melts, I'm breathing his ancestral atmosphere.",0.6537993517025207
A medida que se derrite un tmpano libera agua dulce rica en minerales que alimenta a muchas formas de vida.,"As the iceberg melts,  it is releasing mineral-rich fresh water  that nourishes many forms of life.","As a tmpano melts, it releases mineral-rich fresh water that feeds many forms of life.",0.3464226178936948
"Me acerco a fotografiar estos tmpanos como si se tratara de los retratos de mis ancestros, sabiendo que en estos momentos nicos existen de ese modo y no volvern a existir de ese modo otra vez.","I approach photographing these icebergs  as if I'm making portraits of my ancestors,  knowing that in these individual moments  they exist in that way  and will never exist that way again.","I come closer to photographing these tmpanos as if they were the portraits of my ancestors, knowing that in these momentous times they exist in that way and will not re-exist in that way again.",0.428151439311871
"No es la muerte cuando se derriten; no es un fin, sino una continuacin de su camino por el ciclo de la vida.","It is not a death when they melt;  it is not an end,  but a continuation  of their path through the cycle of life.","It is not death when it melts; it is not an end, but a continuation of its path through the cycle of life.",0.6080105469061642
Parte del hielo de los tmpanos que fotografo es muy joven... tiene un par de miles de aos.,Some of the ice in the icebergs that I photograph is very young --  a couple thousand years old.,Part of the ice from the tmpanos that photographer is very young... has a couple thousand years.,0.3517559811415743
Y otra parte del hielo tiene ms de 100 mil aos.,"And some of the ice  is over 100,000 years old.","And another part of the ice is over 100,000 years old.",0.6989307622784944
"Las ltimas fotos que me gustara mostrarles son de un tmpano que fotografi en Kekertsuatsiak, Groenlandia.","The last pictures I'd like to show you  are of an iceberg that I photographed  in Qeqetarsuaq, Greenland.","The last pictures I'd like to show you are from a photographer in Kekertsuatsiak, Greenland.",0.47450208051187415
Es poco frecuente llegar realmente a presenciar un tmpano rodante.,It's a very rare occasion  that you get to actually witness  an iceberg rolling.,It is rare to actually witness a rolling tmpano.,0.21533650188818584
Aqu lo tienen.,So here it is.,Here it is.,0.5444460596606694
Pueden ver a la izquierda un pequeo bote.,You can see on the left side a small boat.,You can see to the left a small boat.,0.5648198097713082
Mide unos 5 metros.,That's about a 15-foot boat.,It's about five meters.,0.5506953149031838
Y me gustara que presten atencin a la forma del tmpano y su lnea de flotacin.,And I'd like you to pay attention  to the shape of the iceberg  and where it is at the waterline.,And I'd like them to pay attention to the shape of the tmpano and its fleeting line.,0.425143650778693
"Se puede ver aqu, comienza a rodar, el barco se ha movido hacia el otro lado y el hombre est all de pie.","You can see here, it begins to roll,  and the boat has moved to the other side, and the man is standing there.","You can see here, it starts to roll, the boat has moved to the other side and the man is all standing.",0.5379942002865987
"Este es un tmpano de Groenlandia, de tamao promedio.",This is an average-size Greenlandic iceberg.,This is an average size Greenland tmpano.,0.4111336169005197
Sobresale del agua unos 120 pies o 40 metros.,"It's about 120 feet above the water,  or 40 meters.",It stands out from the water about 120 feet or 40 meters.,0.4538407873007614
Este video est en tiempo real.,And this video is real time.,This video is in real time.,0.7186082239261684
"Y as noms, el tmpano muestra un lado diferente de su personalidad.","And just like that,  the iceberg shows you a different side of its personality.","And as noms, the tmpano shows a different side of his personality.",0.2134144322916053
Gracias.,Thank you.,Thank you.,1.0
"Quiero que imaginen a dos parejas en 1979, el mismo da, exactamente en el mismo momento, cada una concibiendo un beb. Bien.","I want you to imagine two couples  in the middle of 1979  on the exact same day, at the exact same moment,  each conceiving a baby -- okay?","I want you to imagine two couples in 1979, the same gives, exactly at the same time, each conceiving a beb.",0.3183928675296513
"Entonces, dos parejas cada una con un beb.",So two couples each conceiving one baby.,"So, two pairs each with a beb.",0.7311104457090247
"No quiero que se detengan demasiado en los detalles de la concepcin, porque si se detienen a pensar en la concepcin en s, no me van a prestar atencin.","Now I don't want you to spend too much time imagining the conception,  because if you spend all that time imagining that conception,  you're not going to listen to me.","I do not want them to stop too much in the details of the conception, because if they stop to think about the conception in s, they will not pay attention to me.",0.10726279796055946
Pensemos en eso por un momento.,So just imagine that for a moment.,Let's think about that for a moment.,0.41113361690051975
"Y en este escenario quiero que imaginen que, en un caso, el cromosoma Y del esperma se une al cromosoma X del vulo.","And in this scenario,  I want to imagine that, in one case,  the sperm is carrying a Y chromosome,  meeting that X chromosome of the egg.","And in this scenario, I want you to imagine that, in one case, the Y chromosome of sperm binds to the X chromosome of the vulo.",0.5053915409642312
"Y, en el otro caso, el cromosoma X del esperma se une al cromosoma X del vulo.","And in the other case,  the sperm is carrying an X chromosome,  meeting the X chromosome of the egg.","And in the other case, the X chromosome of the sperm binds to the X chromosome of the vulo.",0.4702773871923361
Ambos prenden y se inicia la vida.,Both are viable; both take off.,They both start and start life.,0.6389431042462724
Volveremos a hablar de ellos ms tarde.,We'll come back to these people later.,We'll talk about them again later.,0.6431870218238024
En mi actividad suelo cumplir dos roles.,So I wear two hats  in most of what I do.,In my activity I usually play two roles.,0.4859869096699081
"En uno de mis roles, trabajo con la historia de la anatoma.","As the one hat,  I do history of anatomy.","In one of my roles, I work with the history of the anatoma.",0.42311785416105785
"Soy historiadora por formacin y lo que estudio en este caso es la forma en que la gente abord la anatoma -es decir, de cuerpos humanos y animales-, cmo han considerado los fluidos corporales, la idea del cuerpo; qu han pensado respecto del cuerpo.","I'm a historian by training,  and what I study in that case  is the way that people have dealt with anatomy --  meaning human bodies, animal bodies --  how they dealt with bodily fluids, concepts of bodies;  how have they thought about bodies.","I am a formacin historian and what I study in this case is the way people approach the anatoma - that is, human and animal bodies - how they have considered bodily fluids, the idea of the body; what they have thought about the body.",0.18610951998392083
"El otro rol que desempeo en mi trabajo es el de activista, como defensora de pacientes o, como digo a veces, defensora impaciente de personas que son pacientes mdicos.","The other hat that I've worn in my work  is as an activist,  as a patient advocate --  or, as I sometimes say, as an impatient advocate --  for people who are patients of doctors.","The other role I play in my work is that of an activist, as a patient advocate or, as I say sometimes, an impatient advocate of people who are medical patients.",0.31476226141565283
"En este caso, he trabajado con personas cuyas caractersticas fsicas desafan las normas sociales.","In that case, what I've worked with  is people who have body types  that challenge social norms.","In this case, I have worked with people whose physical characteristics disregard social norms.",0.4394900482337441
"He estado trabajando, por ejemplo, con gemelos siameses, dos personas dentro de un mismo cuerpo.","So some of what I've worked on, for example,  is people who are conjoined twins --  two people within one body.","I've been working, for example, with Siamese twins, two people inside the same body.",0.30734788123073487
He trabajado con personas con enanismo; personas mucho ms bajas que la media.,Some of what I've worked on is people who have dwarfism --  so people who are much shorter than typical.,I have worked with people with dwarfism; people much lower than average.,0.43173061492439624
"Y he trabajado con muchos casos de personas con sexo atpico, individuos cuya tipologa fsica no encaja en los esquemas masculinos y femeninos convencionales.",And a lot of what I've worked on  is people who have atypical sex --  so people who don't have the standard male  or the standard female body types.,"And I've worked with many cases of people with atypical sex, individuals whose physical typology doesn't fit into conventional male and female schemes.",0.2731748132592809
"En lneas generales, podemos denominarlo intersexualidad.","And as a general term, we can use the term intersex for this.","On general lines, we can call it intersexuality.",0.2575130577341738
La intersexualidad adopta muchas formas.,Intersex comes in a lot of different forms.,Intersexuality takes many forms.,0.2601300475114445
Voy a ponerles algunos ejemplos de maneras de tener un sexo que no se encasilla en las formas comunes masculino o femenino.,I'll just give you a few examples  of the types of ways you can have sex  that isn't standard for male or female.,I'm going to give you some examples of ways to have a sex that doesn't fit into common male or female forms.,0.561292863181612
"Por ejemplo, est el caso del individuo con base cromosmica XY cuyo gen SRY del cromosoma Y le dice a las protognadas, que todos tenemos en la vida fetal, que se vuelvan testculos.","So in one instance,  you can have somebody who has an XY chromosomal basis,  and that SRY gene on the Y chromosome  tells the proto-gonads, which we all have in the fetal life,  to become testes.","For example, there is the case of the XY-based individual whose Y-chromosome SRY gene tells the protognates, that we all have in fetal life, to become testicles.",0.15656002800325783
"Y entonces, en la vida fetal, los testculos producen testosterona.",And so in the fetal life the testes are pumping out testosterone.,"And then, in fetal life, testicles produce testosterone.",0.510029457493824
"Pero dado que este individuo carece de receptores de testosterona, el cuerpo no reacciona a la misma.","But because this individual lacks receptors  to hear that testosterone,  the body doesn't react to the testosterone.","But since this individual lacks testosterone receptors, the body does not react to it.",0.2808091357038125
Es el sndrome de insensibilidad a los andrgenos.,And this is a syndrome called androgen insensitivity syndrome.,It is the syndrome of insensitivity to the andrgens.,0.7598356856515925
"Entonces, hay niveles altos de testosterona pero sin reaccin.","So lots of levels of testosterone, but no reaction to it.","So, there are high levels of testosterone but no reaction.",0.49406310246795565
"Como consecuencia, el cuerpo se desarrolla siguiendo un curso tpicamente femenino.","As a consequence, the body develops  more along the female typical path.","As a result, the body develops following a typical feminine course.",0.33529572102686117
"Cuando nace, el beb tiene aspecto de nia.","When the child is born, she looks like a girl.","When born, the baby looks like a girl.",0.3096787331587729
Es una nia. Es criada como una nia.,She is a girl. She is raised as a girl.,"She's a girl, she's raised like a girl.",0.4026190971287384
"Y, a menudo, no es sino hasta la pubertad, cuando est creciendo y desarrollando los senos pero no tiene el periodo menstrual, cuando alguien se da cuenta que algo est pasando.","And it's often not until she hits puberty  and she's growing and developing breasts,  but she's not getting her period,  that somebody figures out something's up here.","And often, it's not until puberty, when you're growing and developing your breasts but you don't have your menstrual period, when someone realizes something's going on.",0.2015095022064009
"Luego de hacerle exmenes se dan cuenta de que en vez de tener ovarios y tero, en realidad tiene testculos y un cromosoma Y.","And they do some tests and figure out  that, instead of having ovaries inside and a uterus,  she actually has testes inside, and she has a Y chromosome.","After exmensing, they realize that instead of having ovaries and tera, they actually have testicles and a Y chromosome.",0.13375163704497414
"Lo importante a entender es que uno puede pensar que se trata de un hombre, pero en realidad no es as.","Now what's important to understand  is you may think of this person as really being male,  but they're really not.","The important thing to understand is that one may think it's a man, but it's not really an ace.",0.24047860794644352
"Las mujeres, como los hombres, tenemos en el cuerpo algo llamado glndulas suprarrenales.","Females, like males,  have in our bodies something called the adrenal glands.","Women, like men, have something in our bodies called adrenal glands.",0.3710657122133102
Estn en la parte posterior del cuerpo.,They're in the back of our body.,It's on the back of the body.,0.4417918226831577
"Las glndulas suprarrenales producen andrgenos, la hormona de la masculinizacin.","And the adrenal glands make androgens,  which are a masculinizing hormone.","Adrenal glands produce andrgens, the hormone of masculinization.",0.4859869096699081
La mayora de las mujeres como yo -me considero una mujer tpica; no conoce su estructura cromosmica; yo creo ser una mujer tpica la mayora de las mujeres como yo son sensibles a los andrgenos.,Most females like me -- I believe myself to be a typical female --  I don't actually know my chromosomal make-up  but I think I'm probably typical --  most females like me are actually androgen-sensitive.,The majority of women like me - I consider myself a typical woman; she doesn't know its chromosomal structure; I think I'm a typical woman the majority of women like me are sensitive to andrgens.,0.26442960840784246
Producimos andrgenos y respondemos a los andrgenos.,"We're making androgen, and we're responding to androgens.",We produce andrgenos and respond to andrgenos.,0.6337834876616586
"Como consecuencia, alguien como yo tiene el cerebro ms expuesto a los andrgenos que la mujer que naci con testculos que tiene el sndrome de insensibilidad a los andrgenos.",The consequence is that somebody like me  has actually had a brain exposed to more androgens  than the woman born with testes  who has androgen insensitivity syndrome.,"As a result, someone like me has the brain more exposed to andrgens than the woman I was born with testicles who has the syndrome of insensitivity to andrgens.",0.3179303998422513
Por eso el sexo es algo complicado. No es que los intersexuales estn en el medio del espectro... en cierta forma pueden estar en todos lados.,"So sex is really complicated; it's not just that intersex people  are in the middle of all the sex spectrum --  in some ways, they can be all over the place.","That's why sex is complicated, not that intersex people are in the middle of the spectrum... in a way they can be everywhere.",0.284536578382168
"Otro ejemplo: hace pocos aos recib una llamada de un muchacho de 19 aos nacido y criado como varn; tena novia, y relaciones sexuales con ella, llevaba una vida como muchacho y acababa de descubrir que tena ovarios y tero.","Another example:  a few years ago I got a call from a man who was 19 years old,  who was born a boy, raised a boy,  had a girlfriend, had sex with his girlfriend,  had a life as a guy  and had just found out that he had ovaries and a uterus inside.","Another example: a few years ago he received a call from a 19-year-old boy born and raised as a varn; he had a girlfriend, and sexual relations with her, he led a life as a boy and had just discovered that he had ovaries and tera.",0.28889304580311115
Tena una forma extrema de una enfermedad conocida como hiperplasia suprarrenal congnita.,What he had was an extreme form  of a condition called congenital adrenal hyperplasia.,It has an extreme form of a disease known as congnant adrenal hyperplasia.,0.30797696508076305
"Tena cromosomas XX y en el tero las glndulas suprarrenales estaban tan activas que, en esencia, creaban un entorno hormonal masculino.","He had XX chromosomes,  and in the womb,  his adrenal glands were in such high gear  that it created, essentially, a masculine hormonal environment.","It had chromosomes XX and in the tera the adrenal glands were so active that, in essence, they created a male hormonal environment.",0.31211920341047517
"Como consecuencia, sus genitales estaban masculinizados, su cerebro estaba expuesto al componente hormonal tpicamente masculino.","And as a consequence, his genitals were masculinzed,  his brain was subject  to the more typical masculine component of hormones.","As a result, his genitals were masculinized, his brain was exposed to the typical male hormonal component.",0.33166126780871225
Naci con aspecto de nio; nadie sospech nada.,And he was born looking like a boy -- nobody suspected anything.,I was born looking like a child; no one suspects anything.,0.33529572102686117
"Y fue a los 19 aos cuando empez a tener problemas mdicos provocados por la menstruacin interna, cuando los doctores descubrieron que, de hecho, era mujer por dentro.","And it was only when he had reached the age of 19  that he began to have enough medical problems  actually from menstruating internally,  that doctors figured out that, in fact, he was female internally.","And it was at 19 that I began to have medical problems caused by internal menstruation, when the doctors discovered that I was actually a woman inside.",0.24047845912082816
"Bueno, otro ejemplo rpido de un caso de intersexualidad.","Okay, so just one more quick example  of a way you can have intersex.","Well, another quick example of an intersexuality case.",0.17267606045625936
"Algunas personas con cromosomas XX desarrollan lo que se conoce como ovotestis, es decir, tienen tejido ovrico envuelto en tejido testicular.","Some people who have XX chromosomes  develop what are called ovotestis,  which is when you have ovarian tissue  with testicular tissue wrapped around it.","Some people with XX chromosomes develop what is known as ovotestis, that is, they have ovarian tissue wrapped in testicular tissue.",0.18438513883517713
No sabemos bien por qu sucede eso.,And we're not exactly sure why that happens.,We don't know why that happens.,0.3388267372816049
"Entonces, hay muchas variedades de sexo.",So sex can come in lots of different varieties.,"So, there are many varieties of sex.",0.46199933699457096
"La razn por la que nios con este tipo de cuerpos -ya sean enanos, gemelos siameses, o intersexuales- se someten a cirugas normalizadoras no es para poder gozar de una mejor salud fsica.","The reason  that children with these kinds of bodies --  whether it's dwarfism, or it's conjoined twinning,  or it's an intersex type --  are often normalized by surgeons  is not because it actually leaves them better off  in terms of physical health.","The reason why children with these types of bodies – whether dwarfs, Siamese twins, or intersexuals – submit to normalizing cirucles is not to be able to enjoy a better physical health.",0.16863377579851038
En muchos casos la gente est perfectamente sana.,"In many cases, people are actually perfectly healthy.",In many cases people are perfectly healthy.,0.7013967267997694
La razn por la que se someten a varias cirugas es que son una amenaza para nuestras categoras sociales.,The reason they're often subject to various kinds of surgeries  is because they threaten our social categories.,The reason why they submit to several cirucles is that they are a threat to our social categories.,0.26460159523593296
El sistema se basa normalmente en la idea de que una anatoma particular trae aparejada una identidad particular.,Or system has been based typically on the idea  that a particular kind of anatomy comes with a particular identity.,The system is normally based on the idea that a particular anatoma brings with it a particular identity.,0.32385792338022384
"Tenemos la idea de que ser mujer es tener identidad femenina; supuestamente, ser negro quiere decir tener anatoma africana en trminos histricos.","So we have the concept that what it means to be a woman  is to have a female identity;  what it means to be a black person is, allegedly,  is to have an African anatomy  in terms of your history.","We have the idea that being a woman is having a female identity; supposedly, being black means having African anatoma in historical terms.",0.15881558400675594
Una idea terriblemente simplista.,And so we have this terribly simplistic idea.,A terribly simplistic idea.,0.2601300475114445
"Y cuando se nos presenta un cuerpo que muestra algo bastante diferente, tenemos problemas con la categorizacin.","And when we're faced with a body  that actually presents us something quite different,  it startles us in terms of those categorizations.","And when we are presented with a body that shows something quite different, we have problems with categorization.",0.17353444921734898
De modo que tenemos ideas muy romnticas en nuestra cultura respecto al individualismo.,So we have a lot of very romantic ideas in our culture  about individualism.,So we have very romantic ideas in our culture about individualism.,0.6191566827062979
Nuestra nacin se basa en un concepto del individualismo muy romntico.,And our nation's really founded on a very romantic concept of individualism.,Our birth is based on a very romantic concept of individualism.,0.5210833656670609
Imaginen lo sorprendente que es tener hijos que nacen como dos personas dentro de un mismo cuerpo.,Well you can imagine how startling then it is  when you have children that are born  who are two people inside of one body.,Imagine how amazing it is to have children born as two people within the same body.,0.3512698616414408
El caso reciente ms lgido es del ao pasado con la corredora sudafricana Caster Semenya; se puso en tela de juicio su sexo en los Juegos Internacionales de Berln.,"Where I ran into the most heat from this most recently  was last year the South African runner, Caster Semenya,  had her sex called into question at the International Games in Berlin.",The most recent case is from the past year with South African runner Caster Semenya; her sex was questioned at the Berln International Games.,0.3694167260152647
"Muchos periodistas llamaron para preguntarme: ""Qu examen van a realizar para determinar si Caster Semenya es hombre o mujer?"".","I had a lot of journalists calling me, asking me,  ""Which is the test they're going to run  that will tell us whether or not  Caster Semenya is male or female?""","Many journalists called to ask me, ""What test are you going to perform to determine if Caster Semenya is a man or a woman?""",0.1665408013948202
Y yo tena que explicarles a los periodistas que no existe tal examen.,And I had to explain to the journalists there isn't such a test.,And I have to explain to journalists that there is no such test.,0.3541698766144061
"De hecho, ahora sabemos que el sexo es tan complicado que tenemos que admitir que la Naturaleza no traza una lnea tajante entre hombres y mujeres o entre hombres e intersexuales y mujeres e intersexuales; somos nosotros quienes trazamos esa lnea.","In fact, we now know  that sex is complicated enough  that we have to admit  nature doesn't draw the line for us between male and female,  or between male and intersex and female and intersex;  we actually draw that line on nature.","In fact, we now know that sex is so complicated that we have to admit that Nature does not draw a sharp line between men and women or between men and intersex and women and intersex; it is we who draw that line.",0.320777290700417
"As, lo que tenemos es una situacin en la que cuanto ms avanza la ciencia, ms tenemos que admitir que estas categoras (que pensbamos eran categoras anatmicas estables que se correspondan directamente con categoras identitarias estables) son mucho ms difusas de lo que pensbamos.","So what we have is a sort of situation  where the farther our science goes,  the more we have to admit to ourselves  that these categories  that we thought of as stable anatomical categories  that mapped very simply  to stable identity categories  are a lot more fuzzy than we thought.","As, what we have is a situation in which the more science advances, the more we have to admit that these categories (which we thought were stable anatomical categories that correspond directly to stable identity categories) are much more diffuse than we thought.",0.29394931169559047
Y no slo en trminos de sexo.,And it's not just in terms of sex.,And not only in terms of sex.,0.39442436483275556
"Tambin en trminos de raza, algo que resulta mucho ms complicado de lo que la terminologa permite.","It's also in terms of race,  which turns out to be vastly more complicated  than our terminology has allowed.","Also in terms of race, something that is much more complicated than the terminologist allows.",0.18224242666280513
"Como vemos, nos metemos en un terreno escabroso.","As we look, we get into all sorts of uncomfortable areas.","As we can see, we get into a rough terrain.",0.343763879968285
"Miremos, por ejemplo, el hecho de que compartimos al menos el 95% del ADN con los chimpancs.","We look, for example, about the fact  that we share at least 95 percent of our DNA  with chimpanzees.","Let us look, for example, at the fact that we share at least 95% of DNA with chimpancs.",0.4183007445500922
Qu opinaremos del hecho de diferir de ellos en slo unos pocos nucletidos?,What are we to make of the fact  that we differ from them only really by a few nucleotides?,What do we think of the fact that we differ from them in just a few nucletides?,0.4212671589240026
